product_id,date,stock_received,damaged_stock
153019,1-03-23,4,1
848226,1-03-23,4,1
965755,1-03-23,1,0
39154,1-03-23,4,0
34186,1-03-23,3,1
478531,1-03-23,4,1
812607,1-03-23,4,0
818990,1-03-23,4,0
284460,1-03-23,4,0
654297,1-03-23,4,1
376447,1-03-23,4,0
888807,1-03-23,1,0
41853,1-03-23,4,0
257719,1-03-23,4,0
799952,1-03-23,3,0
833557,1-03-23,4,0
324809,1-03-23,1,0
592784,1-03-23,3,0
487065,1-03-23,4,0
734789,1-03-23,4,0
654623,1-03-23,4,0
990993,1-03-23,1,0
762527,1-03-23,4,0
602241,1-03-23,1,1
491521,1-03-23,3,0
832348,1-03-23,3,1
567671,1-03-23,4,0
540618,1-03-23,3,0
687218,1-03-23,3,1
328457,1-03-23,3,0
300159,1-03-23,3,1
378676,1-03-23,3,0
532965,1-03-23,4,0
305754,1-03-23,1,0
611575,1-03-23,3,0
621677,1-03-23,3,0
306177,1-03-23,4,0
901144,1-03-23,3,0
53833,1-03-23,4,0
490602,1-03-23,4,0
287070,1-03-23,1,0
317242,1-03-23,3,0
461804,1-03-23,3,0
820541,1-03-23,3,0
91670,1-03-23,3,1
144124,1-03-23,3,1
677542,1-03-23,1,0
604184,1-03-23,1,0
968887,1-03-23,4,0
700048,1-03-23,3,1
473647,1-03-23,3,0
753354,1-03-23,3,0
490939,1-03-23,4,0
970529,1-03-23,3,1
433521,1-03-23,3,1
927651,1-03-23,3,0
942001,1-03-23,3,1
585299,1-03-23,3,0
52729,1-03-23,4,0
661577,1-03-23,3,0
951463,1-03-23,4,0
243235,1-03-23,3,1
564692,1-03-23,2,0
131748,1-03-23,2,0
913428,1-03-23,2,0
726958,1-03-23,3,0
425341,1-03-23,1,0
677169,1-03-23,2,0
26060,1-03-23,3,0
237083,1-03-23,2,0
669378,1-03-23,3,0
890623,1-03-23,2,0
818990,1-03-23,1,0
349294,1-03-23,3,1
552883,1-03-23,2,0
555121,1-03-23,3,0
89084,1-03-23,2,0
329351,1-03-23,3,0
324809,1-03-23,2,0
337168,1-03-23,2,0
659290,1-03-23,3,0
883013,1-03-23,3,0
455083,1-03-23,2,0
949818,1-03-23,3,0
361361,1-03-23,3,0
378230,1-03-23,3,0
762527,1-03-23,1,0
587420,1-03-23,2,0
491521,1-03-23,1,0
914071,1-03-23,2,0
567671,1-03-23,3,0
378287,1-03-23,2,0
118820,1-03-23,3,0
667163,1-03-23,2,0
228286,1-03-23,1,0
365132,1-03-23,3,0
689769,1-03-23,2,0
305754,1-03-23,3,0
623234,1-03-23,3,0
272170,1-03-23,3,0
487931,1-03-23,2,0
901144,1-03-23,2,0
945635,1-03-23,3,0
490602,1-03-23,3,0
131136,1-03-23,2,0
993331,1-03-23,1,0
807452,1-03-23,2,0
36412,1-03-23,2,0
94225,1-03-23,2,0
435929,1-03-23,2,0
552496,1-03-23,2,0
144124,1-03-23,3,0
697683,1-03-23,3,0
894539,1-03-23,3,0
365133,1-03-23,2,0
767398,1-03-23,3,0
473647,1-03-23,1,0
647462,1-03-23,3,0
803607,1-03-23,3,0
859361,1-03-23,3,0
600767,1-03-23,2,0
784827,1-03-23,3,0
6405,1-03-23,3,0
820973,1-03-23,3,0
367391,1-03-23,3,0
930284,1-03-23,3,0
82484,1-03-23,3,0
707935,1-03-23,3,0
52729,1-03-23,3,0
661577,1-03-23,3,0
