product_id,date,stock_received,damaged_stock,month
153019,2023-03-17,4,2,March
848226,2023-03-17,4,2,March
965755,2023-03-17,1,0,March
39154,2023-03-17,4,0,March
34186,2023-03-17,3,2,March
478531,2023-03-17,4,2,March
812607,2023-03-17,4,0,March
818990,2023-03-17,4,0,March
14145,2023-03-17,0,2,March
847349,2023-03-17,0,2,March
284460,2023-03-17,4,0,March
77308,2023-03-17,0,2,March
654297,2023-03-17,4,2,March
376447,2023-03-17,4,0,March
217710,2023-03-17,0,2,March
888807,2023-03-17,1,0,March
41853,2023-03-17,4,0,March
257719,2023-03-17,4,0,March
741341,2023-03-17,0,2,March
500633,2023-03-17,0,2,March
799952,2023-03-17,3,0,March
833557,2023-03-17,4,0,March
324809,2023-03-17,1,0,March
455083,2023-03-17,0,2,March
592784,2023-03-17,3,0,March
578097,2023-03-17,0,2,March
487065,2023-03-17,4,0,March
734789,2023-03-17,4,0,March
949818,2023-03-17,0,2,March
654623,2023-03-17,4,0,March
378230,2023-03-17,0,2,March
990993,2023-03-17,1,0,March
762527,2023-03-17,4,0,March
602241,2023-03-17,1,2,March
491521,2023-03-17,3,0,March
832348,2023-03-17,3,2,March
567671,2023-03-17,4,0,March
991434,2023-03-17,0,2,March
540618,2023-03-17,3,0,March
107548,2023-03-17,0,2,March
687218,2023-03-17,3,2,March
328457,2023-03-17,3,0,March
300159,2023-03-17,3,2,March
378676,2023-03-17,3,0,March
532965,2023-03-17,4,0,March
305754,2023-03-17,1,0,March
491314,2023-03-17,0,2,March
470449,2023-03-17,0,2,March
623234,2023-03-17,0,2,March
652118,2023-03-17,0,2,March
611575,2023-03-17,3,0,March
621677,2023-03-17,3,0,March
306177,2023-03-17,4,0,March
692985,2023-03-17,0,2,March
487931,2023-03-17,0,2,March
901144,2023-03-17,3,0,March
53833,2023-03-17,4,0,March
490602,2023-03-17,4,0,March
131136,2023-03-17,0,2,March
287070,2023-03-17,1,0,March
317242,2023-03-17,3,0,March
644847,2023-03-17,0,2,March
461804,2023-03-17,3,0,March
94225,2023-03-17,0,2,March
820541,2023-03-17,3,0,March
91670,2023-03-17,3,2,March
336847,2023-03-17,0,2,March
144124,2023-03-17,3,2,March
677542,2023-03-17,1,0,March
604184,2023-03-17,1,0,March
894539,2023-03-17,0,2,March
968887,2023-03-17,4,0,March
739448,2023-03-17,0,2,March
700048,2023-03-17,3,2,March
473647,2023-03-17,3,0,March
753354,2023-03-17,3,0,March
490939,2023-03-17,4,0,March
803607,2023-03-17,0,2,March
799688,2023-03-17,0,2,March
684939,2023-03-17,0,2,March
615545,2023-03-17,0,2,March
366066,2023-03-17,0,2,March
970529,2023-03-17,3,2,March
820973,2023-03-17,0,2,March
433521,2023-03-17,3,2,March
927651,2023-03-17,3,0,March
930284,2023-03-17,0,2,March
432617,2023-03-17,0,2,March
942001,2023-03-17,3,2,March
585299,2023-03-17,3,0,March
52729,2023-03-17,4,0,March
661577,2023-03-17,3,0,March
951463,2023-03-17,4,0,March
243235,2023-03-17,3,2,March
564692,2023-03-17,4,0,March
131748,2023-03-17,4,0,March
186168,2023-03-17,0,2,March
537274,2023-03-17,0,2,March
913428,2023-03-17,4,0,March
726958,2023-03-17,3,0,March
613942,2023-03-17,0,2,March
784673,2023-03-17,0,2,March
425341,2023-03-17,1,0,March
760828,2023-03-17,0,2,March
677169,2023-03-17,4,0,March
557908,2023-03-17,0,2,March
566052,2023-03-17,0,2,March
137909,2023-03-17,0,2,March
799459,2023-03-17,0,2,March
992178,2023-03-17,0,2,March
26060,2023-03-17,3,0,March
237083,2023-03-17,4,0,March
240179,2023-03-17,0,2,March
153019,2023-03-18,0,2,March
669378,2023-03-18,3,0,March
890623,2023-03-18,4,0,March
516376,2023-03-18,0,2,March
34186,2023-03-18,0,2,March
196719,2023-03-18,0,2,March
818990,2023-03-18,1,0,March
349294,2023-03-18,3,2,March
284460,2023-03-18,0,2,March
552883,2023-03-18,4,0,March
952124,2023-03-18,0,2,March
555121,2023-03-18,3,0,March
217710,2023-03-18,0,2,March
89084,2023-03-18,4,2,March
891833,2023-03-18,0,2,March
741341,2023-03-18,0,2,March
329351,2023-03-18,3,0,March
324809,2023-03-18,4,0,March
337168,2023-03-18,4,2,March
659290,2023-03-18,3,0,March
883013,2023-03-18,3,0,March
455083,2023-03-18,4,0,March
183929,2023-03-18,0,2,March
578097,2023-03-18,0,2,March
949818,2023-03-18,3,0,March
690565,2023-03-18,0,2,March
361361,2023-03-18,3,0,March
378230,2023-03-18,3,0,March
658389,2023-03-18,0,2,March
762527,2023-03-18,1,0,March
952168,2023-03-18,0,2,March
587420,2023-03-18,4,0,March
491521,2023-03-18,1,0,March
914071,2023-03-18,4,0,March
567671,2023-03-18,3,0,March
319388,2023-03-18,0,2,March
